size,algorithm,type,length,time,exceeded
16,BnB,euclidian,354.73044848784076,175.33154821395874,False
16,Twice,euclidian,404.6469721412778,0.002034425735473633,False
16,Christofides,euclidian,376.74238802396025,0.010970354080200195,False
16,BnB,manhattan,448,117.4552652835846,False
16,Twice,manhattan,498,0.001994609832763672,False
16,Christofides,manhattan,496,0.020894765853881836,False
16,BnB,euclidian,324.15537035211565,13.483034610748291,False
16,Twice,euclidian,449.08681337555186,0.000997304916381836,False
16,Christofides,euclidian,339.08833792026155,0.0069811344146728516,False
16,BnB,manhattan,408,11.86205244064331,False
16,Twice,manhattan,500,0.002001047134399414,False
16,Christofides,manhattan,412,0.008970260620117188,False
16,BnB,euclidian,338.14279217601376,67.8677008152008,False
16,Twice,euclidian,362.9798908079456,0.0010035037994384766,False
16,Christofides,euclidian,349.7865986920816,0.004998445510864258,False
16,BnB,manhattan,424,50.04019618034363,False
16,Twice,manhattan,456,0.000988006591796875,False
16,Christofides,manhattan,444,0.004992961883544922,False
16,BnB,euclidian,365.8088525859488,516.5905857086182,False
16,Twice,euclidian,373.54627784823674,0.001996278762817383,False
16,Christofides,euclidian,381.1829099905571,0.010977983474731445,False
16,BnB,manhattan,450,144.97467041015625,False
16,Twice,manhattan,562,0.0009980201721191406,False
16,Christofides,manhattan,500,0.010974645614624023,False
16,BnB,euclidian,338.35225703647876,118.22674822807312,False
16,Twice,euclidian,354.61591765961555,0.0019936561584472656,False
16,Christofides,euclidian,351.5869496608356,0.005983829498291016,False
16,BnB,manhattan,424,58.72200345993042,False
16,Twice,manhattan,538,0.0020046234130859375,False
16,Christofides,manhattan,424,0.003988742828369141,False
16,BnB,euclidian,307.1015888566534,6.053941011428833,False
16,Twice,euclidian,380.5722751816103,0.0010001659393310547,False
16,Christofides,euclidian,333.71392323126645,0.006981372833251953,False
16,BnB,manhattan,386,3.9570109844207764,False
16,Twice,manhattan,520,0.0019893646240234375,False
16,Christofides,manhattan,402,0.007937431335449219,False
16,BnB,euclidian,318.0141303889805,875.5498974323273,False
16,Twice,euclidian,356.37582378474013,0.000997781753540039,False
16,Christofides,euclidian,351.78074742061233,0.005983829498291016,False
16,BnB,manhattan,398,495.7422149181366,False
16,Twice,manhattan,448,0.0010056495666503906,False
16,Christofides,manhattan,430,0.006981849670410156,False
16,BnB,euclidian,307.22360138862695,46.20456838607788,False
16,Twice,euclidian,395.93681430080346,0.002038240432739258,False
16,Christofides,euclidian,332.99713849276816,0.01700115203857422,False
16,BnB,manhattan,392,223.44293427467346,False
16,Twice,manhattan,508,0.0009937286376953125,False
16,Christofides,manhattan,394,0.009967565536499023,False
16,BnB,euclidian,310.674782257915,1200.0002000331879,True
16,Twice,euclidian,334.8576034282108,0.0009970664978027344,False
16,Christofides,euclidian,330.16502906023584,0.020986557006835938,False
16,BnB,manhattan,350,655.2202694416046,False
16,Twice,manhattan,462,0.0009968280792236328,False
16,Christofides,manhattan,356,0.013962507247924805,False
16,BnB,euclidian,325.57456481417876,135.20529699325562,False
16,Twice,euclidian,354.56387690232697,0.0009965896606445312,False
16,Christofides,euclidian,333.5815727613632,0.00697636604309082,False
16,BnB,manhattan,394,63.664997816085815,False
16,Twice,manhattan,412,0.0009965896606445312,False
16,Christofides,manhattan,410,0.010967016220092773,False
16,BnB,euclidian,371.1405511971191,204.93946051597595,False
16,Twice,euclidian,407.16314808597343,0.0010113716125488281,False
16,Christofides,euclidian,371.8408134640771,0.0069773197174072266,False
16,BnB,manhattan,436,38.71877598762512,False
16,Twice,manhattan,444,0.0019958019256591797,False
16,Christofides,manhattan,436,0.004986286163330078,False
16,BnB,euclidian,415.57163022430575,1200.0025510787964,True
16,Twice,euclidian,523.7565477412638,0.0010311603546142578,False
16,Christofides,euclidian,450.6254789965883,0.00694727897644043,False
16,BnB,manhattan,500,427.7973849773407,False
16,Twice,manhattan,648,0.0020415782928466797,False
16,Christofides,manhattan,510,0.01092529296875,False
16,BnB,euclidian,384.9578661755826,1200.0011503696442,True
16,Twice,euclidian,441.4390426926114,0.000997781753540039,False
16,Christofides,euclidian,413.254044664576,0.005031108856201172,False
16,BnB,manhattan,438,89.29923295974731,False
16,Twice,manhattan,542,0.0009980201721191406,False
16,Christofides,manhattan,480,0.005979299545288086,False
16,BnB,euclidian,368.49774184521453,610.3717706203461,False
16,Twice,euclidian,475.9542875885614,0.0009930133819580078,False
16,Christofides,euclidian,409.168574539968,0.01001882553100586,False
16,BnB,manhattan,470,477.26008343696594,False
16,Twice,manhattan,524,0.001993417739868164,False
16,Christofides,manhattan,532,0.01795363426208496,False
16,BnB,euclidian,365.2319188966027,192.81578397750854,False
16,Twice,euclidian,456.1305577569092,0.0009920597076416016,False
16,Christofides,euclidian,401.2287563156225,0.006983041763305664,False
16,BnB,manhattan,450,127.56174206733704,False
16,Twice,manhattan,604,0.0009965896606445312,False
16,Christofides,manhattan,496,0.00698089599609375,False
16,BnB,euclidian,457.24383449609985,1200.0019028186798,True
16,Twice,euclidian,564.3378882739122,0.0009982585906982422,False
16,Christofides,euclidian,460.0319817529598,0.030968427658081055,False
16,BnB,manhattan,506,710.952219247818,False
16,Twice,manhattan,618,0.0009944438934326172,False
16,Christofides,manhattan,568,0.025984525680541992,False
16,BnB,euclidian,355.9816817853537,89.49978184700012,False
16,Twice,euclidian,408.9144987836539,0.0009970664978027344,False
16,Christofides,euclidian,355.9816817853538,0.00897526741027832,False
16,BnB,manhattan,430,33.87043762207031,False
16,Twice,manhattan,564,0.0019953250885009766,False
16,Christofides,manhattan,430,0.006981372833251953,False
16,BnB,euclidian,377.03401619113964,314.96075558662415,False
16,Twice,euclidian,493.1910869627669,0.0019931793212890625,False
16,Christofides,euclidian,406.63551940036143,0.01101374626159668,False
16,BnB,manhattan,450,210.49422693252563,False
16,Twice,manhattan,526,0.0020036697387695312,False
16,Christofides,manhattan,508,0.006982564926147461,False
16,BnB,euclidian,340.7225386148733,64.89971137046814,False
16,Twice,euclidian,439.91517933653523,0.0020401477813720703,False
16,Christofides,euclidian,378.27239809846577,0.008978843688964844,False
16,BnB,manhattan,418,50.87313413619995,False
16,Twice,manhattan,582,0.0029897689819335938,False
16,Christofides,manhattan,470,0.008971691131591797,False
16,BnB,euclidian,339.4797055185968,17.998112678527832,False
16,Twice,euclidian,420.0980528680463,0.002003908157348633,False
16,Christofides,euclidian,383.53742419702894,0.01591014862060547,False
16,BnB,manhattan,422,14.99506402015686,False
16,Twice,manhattan,616,0.0009899139404296875,False
16,Christofides,manhattan,456,0.014958858489990234,False
